impact_id,event_id,affected_people,economic_loss_musd
1,999,250020.0,989.93
2,225,2198805.0,1699.75
3,183,1645062.0,0.0
4,933,849845.0,4157.4
5,389,0.0,0.0
6,468,0.0,4047.63
7,964,0.0,4392.06
8,122,1212585.0,3974.7
9,546,0.0,0.0
10,652,2052431.0,3815.65
11,875,0.0,0.0
12,254,0.0,0.0
13,215,0.0,3955.2
14,172,0.0,0.0
15,511,0.0,0.0
16,539,0.0,0.0
17,654,4899801.0,1036.79
18,463,0.0,0.0
19,911,3164201.0,0.0
20,261,4619364.0,672.52
21,303,0.0,1151.66
22,477,0.0,0.0
23,443,0.0,0.0
24,280,3208559.0,898.65
25,272,0.0,0.0
26,863,4210109.0,3929.58
27,101,995787.0,1801.82
28,342,0.0,0.0
29,196,0.0,0.0
30,289,0.0,4729.13
31,484,4301394.0,4327.47
32,233,0.0,0.0
33,740,0.0,0.0
34,867,0.0,0.0
35,215,0.0,4264.87
36,384,1166598.0,1528.55
37,512,0.0,0.0
38,703,0.0,1631.07
39,582,271188.0,0.0
40,582,0.0,4900.88
41,972,3277893.0,2672.92
42,487,0.0,0.0
43,655,2556551.0,857.95
44,33,4099785.0,934.27
45,934,0.0,0.0
46,676,4399949.0,0.0
47,531,93669.0,0.0
48,401,1318308.0,0.0
49,490,0.0,4775.53
50,134,0.0,0.0
51,163,0.0,0.0
52,283,1693005.0,0.0
53,66,3350041.0,0.0
54,472,3882370.0,0.0
55,662,0.0,0.0
56,401,0.0,0.0
57,469,3227803.0,3492.91
58,403,367284.0,4427.82
59,281,0.0,3333.62
60,715,0.0,2056.98
61,378,643010.0,0.0
62,420,3783725.0,1264.58
63,474,225125.0,0.0
64,391,0.0,0.0
65,39,0.0,574.3
66,335,0.0,2307.32
67,562,0.0,0.0
68,862,1354640.0,4192.64
69,182,2468464.0,0.0
70,173,651832.0,3387.24
71,452,3004851.0,1084.15
72,915,4466246.0,2210.85
73,857,4387188.0,0.0
74,455,440691.0,0.0
75,786,1693301.0,1873.85
76,205,767604.0,2108.99
77,346,1612886.0,1103.62
78,817,1409303.0,221.02
79,836,0.0,2810.71
80,640,0.0,4694.68
81,238,1794316.0,1783.53
82,16,0.0,60.89
83,470,1847300.0,0.0
84,666,3096228.0,337.59
85,421,0.0,4915.53
86,730,4498816.0,1260.45
87,615,0.0,3389.82
88,341,0.0,0.0
89,70,2812066.0,0.0
90,392,4287797.0,2517.6
91,239,178950.0,0.0
92,776,2044009.0,0.0
93,511,2489184.0,759.2
94,658,318984.0,0.0
95,757,2758250.0,1391.35
96,534,0.0,3753.0
97,868,0.0,1212.0
98,929,2084210.0,0.0
99,534,2699086.0,2212.36
100,67,4125194.0,4768.35
101,650,1188256.0,628.68
102,607,4605063.0,1182.31
103,437,0.0,821.63
104,251,3557910.0,0.0
105,293,0.0,4838.66
106,279,4037352.0,0.0
107,408,3169523.0,0.0
108,518,3636878.0,0.0
109,21,0.0,0.0
110,610,4507340.0,2764.71
111,264,0.0,0.0
112,385,0.0,360.63
113,733,3937425.0,774.47
114,5,0.0,0.0
115,963,0.0,0.0
116,657,4936093.0,2044.53
117,944,0.0,4660.72
118,199,0.0,0.0
119,522,0.0,0.0
120,949,3558108.0,1212.52
121,944,3032762.0,3487.66
122,268,3821765.0,1272.19
123,13,980207.0,0.0
124,408,4918070.0,2593.17
125,898,3548918.0,0.0
126,709,0.0,0.0
127,771,746524.0,0.0
128,834,0.0,0.0
129,716,2585533.0,0.0
130,2,813610.0,0.0
131,538,0.0,3665.48
132,181,3143803.0,3520.53
133,499,1527595.0,2253.85
134,191,1686614.0,3749.83
135,266,0.0,3134.56
136,890,1394567.0,0.0
137,128,2322649.0,1711.42
138,490,4071105.0,0.0
139,770,61621.0,485.11
140,385,0.0,0.0
141,776,0.0,0.0
142,323,0.0,0.0
143,626,0.0,4365.51
144,4,0.0,3626.38
145,27,0.0,4755.36
146,378,0.0,2575.06
147,4,2703671.0,3169.25
148,993,0.0,0.0
149,410,0.0,0.0
150,675,0.0,1470.02
151,730,1201925.0,640.18
152,309,0.0,0.0
153,978,0.0,3313.55
154,250,1776371.0,3766.51
155,109,3649150.0,0.0
156,925,0.0,0.0
157,682,3996513.0,0.0
158,93,2792738.0,4658.97
159,660,0.0,0.0
160,670,0.0,4042.43
161,266,0.0,439.31
162,349,4968737.0,3723.34
163,587,3085801.0,0.0
164,591,0.0,310.36
165,868,0.0,0.0
166,817,1060542.0,533.82
167,552,0.0,0.0
168,858,0.0,3400.22
169,616,2378271.0,3735.55
170,614,0.0,2512.39
171,281,0.0,3155.75
172,507,0.0,0.0
173,157,1767750.0,3502.34
174,946,0.0,0.0
175,835,1336409.0,0.0
176,433,0.0,0.0
177,74,0.0,1412.54
178,718,0.0,0.0
179,771,4869611.0,0.0
180,469,1374168.0,0.0
181,299,1215862.0,1091.46
182,753,0.0,3630.06
183,695,0.0,0.0
184,696,1412156.0,0.0
185,184,441168.0,0.0
186,608,3640157.0,0.0
187,251,286152.0,0.0
188,310,0.0,3879.47
189,797,0.0,0.0
